"Level","Mario Type","Progress","Time Left","Kills","Mario Alive"
"ORIGINAL/LVL-1.txt","0","1.0","11","1","true"
"ORIGINAL/LVL-1.txt","1","1.0","11","2","true"
"ORIGINAL/LVL-1.txt","2","1.0","11","4","true"
"ORIGINAL/LVL-2.txt","0","1.0","13","5","true"
"ORIGINAL/LVL-2.txt","1","0.3442761","0","11","true"
"ORIGINAL/LVL-2.txt","2","0.34415063","0","21","true"
"ORIGINAL/LVL-3.txt","0","0.53173655","17","0","false"
"ORIGINAL/LVL-3.txt","1","0.53173655","17","0","false"
"ORIGINAL/LVL-3.txt","2","0.53173655","17","0","false"
"ORIGINAL/LVL-4.txt","0","0.5019367","15","5","false"
"ORIGINAL/LVL-4.txt","1","1.0","10","8","true"
"ORIGINAL/LVL-4.txt","2","1.0","10","12","true"
"ORIGINAL/LVL-5.txt","0","1.0","6","8","true"
"ORIGINAL/LVL-5.txt","1","1.0","11","10","true"
"ORIGINAL/LVL-5.txt","2","1.0","11","16","true"
"ORIGINAL/LVL-6.txt","0","0.41794968","17","0","false"
"ORIGINAL/LVL-6.txt","1","0.41280174","18","1","false"
"ORIGINAL/LVL-6.txt","2","0.41280174","18","1","false"
"ORIGINAL/LVL-7.txt","0","1.0","9","0","true"
"ORIGINAL/LVL-7.txt","1","1.0","9","0","true"
"ORIGINAL/LVL-7.txt","2","1.0","10","12","true"
"ORIGINAL/LVL-8.txt","0","1.0","10","1","true"
"ORIGINAL/LVL-8.txt","1","1.0","11","4","true"
"ORIGINAL/LVL-8.txt","2","1.0","11","8","true"
"ORIGINAL/LVL-9.txt","0","1.0","11","5","true"
"ORIGINAL/LVL-9.txt","1","1.0","11","5","true"
"ORIGINAL/LVL-9.txt","2","1.0","10","8","true"
"ORIGINAL/LVL-10.txt","0","0.5340895","17","0","false"
"ORIGINAL/LVL-10.txt","1","1.0","12","2","true"
"ORIGINAL/LVL-10.txt","2","1.0","14","2","true"
"ORIGINAL/LVL-11.txt","0","1.0","9","1","true"
"ORIGINAL/LVL-11.txt","1","1.0","9","1","true"
"ORIGINAL/LVL-11.txt","2","1.0","9","1","true"
"ORIGINAL/LVL-12.txt","0","0.070469745","20","0","false"
"ORIGINAL/LVL-12.txt","1","0.19835554","18","1","false"
"ORIGINAL/LVL-12.txt","2","1.0","9","22","true"
"ORIGINAL/LVL-13.txt","0","0.88062066","14","0","false"
"ORIGINAL/LVL-13.txt","1","1.0","13","0","true"
"ORIGINAL/LVL-13.txt","2","1.0","13","0","true"
"ORIGINAL/LVL-14.txt","0","1.0","12","4","true"
"ORIGINAL/LVL-14.txt","1","1.0","11","4","true"
"ORIGINAL/LVL-14.txt","2","1.0","12","5","true"
"ORIGINAL/LVL-15.txt","0","0.2385533","16","4","false"
"ORIGINAL/LVL-15.txt","1","1.0","1","12","true"
"ORIGINAL/LVL-15.txt","2","1.0","2","31","true"
