"level","progress","time left","kills","lives left"
"ORIGINAL/LVL-1.txt","1.0","31","1","0"
"ORIGINAL/LVL-1.txt","1.0","31","2","0"
"ORIGINAL/LVL-1.txt","1.0","31","4","0"
"ORIGINAL/LVL-2.txt","1.0","32","5","0"
"ORIGINAL/LVL-2.txt","0.34439102","0","29","0"
"ORIGINAL/LVL-2.txt","0.34439102","0","18","0"
"ORIGINAL/LVL-3.txt","0.53173655","37","0","0"
"ORIGINAL/LVL-3.txt","0.53173655","37","0","0"
"ORIGINAL/LVL-3.txt","0.53173655","37","0","0"
"ORIGINAL/LVL-4.txt","0.5019367","35","5","0"
"ORIGINAL/LVL-4.txt","1.0","30","8","0"
"ORIGINAL/LVL-4.txt","1.0","28","12","0"
"ORIGINAL/LVL-5.txt","1.0","30","8","0"
"ORIGINAL/LVL-5.txt","1.0","31","10","0"
"ORIGINAL/LVL-5.txt","1.0","31","16","0"
"ORIGINAL/LVL-6.txt","0.41794968","37","0","0"
"ORIGINAL/LVL-6.txt","0.41280174","38","1","0"
"ORIGINAL/LVL-6.txt","0.41280174","38","1","0"
"ORIGINAL/LVL-7.txt","1.0","29","0","0"
"ORIGINAL/LVL-7.txt","1.0","29","0","0"
"ORIGINAL/LVL-7.txt","1.0","30","12","0"
"ORIGINAL/LVL-8.txt","1.0","30","1","0"
"ORIGINAL/LVL-8.txt","1.0","31","4","0"
"ORIGINAL/LVL-8.txt","1.0","31","8","0"
"ORIGINAL/LVL-9.txt","1.0","31","5","0"
"ORIGINAL/LVL-9.txt","1.0","31","5","0"
"ORIGINAL/LVL-9.txt","1.0","30","8","0"
"ORIGINAL/LVL-10.txt","0.5340895","37","0","0"
"ORIGINAL/LVL-10.txt","1.0","32","2","0"
"ORIGINAL/LVL-10.txt","1.0","34","2","0"
"ORIGINAL/LVL-11.txt","1.0","29","1","0"
"ORIGINAL/LVL-11.txt","1.0","29","1","0"
"ORIGINAL/LVL-11.txt","1.0","30","0","0"
"ORIGINAL/LVL-12.txt","0.070469745","40","0","0"
"ORIGINAL/LVL-12.txt","0.39237583","34","1","0"
"ORIGINAL/LVL-12.txt","1.0","29","22","0"
"ORIGINAL/LVL-13.txt","0.88062066","34","0","0"
"ORIGINAL/LVL-13.txt","1.0","33","0","0"
"ORIGINAL/LVL-13.txt","1.0","33","0","0"
"ORIGINAL/LVL-14.txt","1.0","32","4","0"
"ORIGINAL/LVL-14.txt","1.0","31","4","0"
"ORIGINAL/LVL-14.txt","1.0","32","5","0"
"ORIGINAL/LVL-15.txt","0.2385533","36","4","0"
"ORIGINAL/LVL-15.txt","1.0","21","12","0"
"ORIGINAL/LVL-15.txt","1.0","22","25","0"
