"level","progress","time left","kills"
"GE/LVL-1.txt","0.66055363","29","1"
"GE/LVL-2.txt","0.31236967","36","0"
"GE/LVL-3.txt","0.7683077","30","1"
"GE/LVL-4.txt","0.10926498","38","0"
"GE/LVL-5.txt","0.60966456","30","0"
"GE/LVL-6.txt","0.5525972","24","1"
"GE/LVL-7.txt","0.06293289","39","0"
"GE/LVL-8.txt","0.5105851","33","0"
"GE/LVL-9.txt","0.09384226","38","0"
"GE/LVL-10.txt","0.057202473","40","0"
"GE/LVL-11.txt","0.14078589","39","0"
"GE/LVL-12.txt","0.08917972","39","0"
"GE/LVL-13.txt","0.18808372","37","0"
"GE/LVL-14.txt","0.23305054","37","0"
"GE/LVL-15.txt","0.48683396","32","0"
"GE/LVL-16.txt","0.0723681","39","0"
"GE/LVL-17.txt","0.23666178","38","1"
"GE/LVL-18.txt","0.106411986","39","1"
"GE/LVL-19.txt","0.14828846","39","0"
"GE/LVL-20.txt","0.34016362","37","0"
"GE/LVL-21.txt","0.30998603","37","0"
"GE/LVL-22.txt","0.40489095","29","0"
"GE/LVL-23.txt","0.278042","36","0"
"GE/LVL-24.txt","0.7274786","23","0"
"GE/LVL-25.txt","0.11634118","39","0"
"GE/LVL-26.txt","0.11259601","36","0"
"GE/LVL-27.txt","0.24494363","38","0"
"GE/LVL-28.txt","0.37543568","36","0"
"GE/LVL-29.txt","0.40528846","27","0"
"GE/LVL-30.txt","0.06409021","40","0"
"GE/LVL-31.txt","0.27311513","38","0"
"GE/LVL-32.txt","0.7695417","29","1"
"GE/LVL-33.txt","0.24899098","37","0"
"GE/LVL-34.txt","0.10605219","39","0"
"GE/LVL-35.txt","0.36086532","35","2"
"GE/LVL-36.txt","0.053752713","40","0"
"GE/LVL-37.txt","0.877207","23","0"
"GE/LVL-38.txt","0.7102617","31","0"
"GE/LVL-39.txt","0.16039278","38","0"
"GE/LVL-40.txt","1.0","29","0"
"GE/LVL-41.txt","1.0","28","1"
"GE/LVL-42.txt","0.17618355","37","0"
"GE/LVL-43.txt","0.07834352","39","0"
"GE/LVL-44.txt","0.32564357","36","0"
"GE/LVL-45.txt","0.1571042","39","0"
"GE/LVL-46.txt","0.3274247","35","1"
"GE/LVL-47.txt","0.10528846","0","0"
"GE/LVL-48.txt","1.0","25","1"
"GE/LVL-49.txt","1.0","27","0"
"GE/LVL-50.txt","0.29423076","35","0"
"GE/LVL-51.txt","0.17344889","38","0"
"GE/LVL-52.txt","0.09573447","39","0"
"GE/LVL-53.txt","0.21410844","38","0"
"GE/LVL-54.txt","0.86923087","27","0"
"GE/LVL-55.txt","0.15288177","39","0"
"GE/LVL-56.txt","0.095746346","38","0"
"GE/LVL-57.txt","0.08516136","39","0"
"GE/LVL-58.txt","0.24797258","37","0"
"GE/LVL-59.txt","0.3804605","34","2"
"GE/LVL-60.txt","0.18615465","37","0"
"GE/LVL-61.txt","0.19152045","37","1"
"GE/LVL-62.txt","0.28761238","37","0"
"GE/LVL-63.txt","0.21735331","37","1"
"GE/LVL-64.txt","0.7147895","30","5"
"GE/LVL-65.txt","0.3913119","33","1"
"GE/LVL-66.txt","0.21853317","38","0"
"GE/LVL-67.txt","0.2771679","36","0"
"GE/LVL-68.txt","0.4881469","33","2"
"GE/LVL-69.txt","0.07791398","39","1"
"GE/LVL-70.txt","0.13820152","39","0"
"GE/LVL-71.txt","0.27077276","37","1"
"GE/LVL-72.txt","0.6807478","32","0"
"GE/LVL-73.txt","0.13306738","38","0"
"GE/LVL-74.txt","0.0654088","40","0"
"GE/LVL-75.txt","0.8027907","28","1"
"GE/LVL-76.txt","0.104085915","39","0"
"GE/LVL-77.txt","0.112958156","39","0"
"GE/LVL-78.txt","0.5622188","35","0"
"GE/LVL-79.txt","0.6013972","32","0"
"GE/LVL-80.txt","0.8682577","30","1"
"GE/LVL-81.txt","0.425","34","0"
"GE/LVL-82.txt","0.39686525","36","1"
"GE/LVL-83.txt","0.056337092","40","0"
"GE/LVL-84.txt","0.14890088","38","0"
"GE/LVL-85.txt","0.39510596","36","0"
"GE/LVL-86.txt","0.3635998","36","1"
"GE/LVL-87.txt","0.20099457","37","1"
"GE/LVL-88.txt","0.13597555","38","0"
"GE/LVL-89.txt","0.20685703","35","0"
"GE/LVL-90.txt","1.0","26","0"
"GE/LVL-91.txt","0.10691017","39","0"
"GE/LVL-92.txt","0.29424873","35","0"
"GE/LVL-93.txt","0.37757316","35","0"
"GE/LVL-94.txt","0.2550113","36","0"
"GE/LVL-95.txt","0.079368465","39","0"
