"Level","Mario Type","Progress","Time Left","Kills","Mario Alive"
"ge/LVL-100.txt","0","1.0","2","0","true"
"ge/LVL-100.txt","1","0.1311937","18","0","false"
"ge/LVL-100.txt","2","0.11943689","19","1","false"
"ge/LVL-101.txt","0","0.96570206","6","0","false"
"ge/LVL-101.txt","1","0.22998525","18","0","false"
"ge/LVL-101.txt","2","0.23285145","18","0","false"
"ge/LVL-102.txt","0","0.66834044","10","1","false"
"ge/LVL-102.txt","1","0.31875506","15","0","false"
"ge/LVL-102.txt","2","0.29084623","17","0","false"
"ge/LVL-103.txt","0","0.057202473","20","0","false"
"ge/LVL-103.txt","1","0.06150584","20","0","false"
"ge/LVL-103.txt","2","0.14435686","18","0","false"
"ge/LVL-104.txt","0","0.11325669","19","0","false"
"ge/LVL-104.txt","1","0.057202473","20","0","false"
"ge/LVL-104.txt","2","0.06400183","20","0","false"
"ge/LVL-105.txt","0","0.09655452","19","0","false"
"ge/LVL-105.txt","1","0.57078946","12","0","false"
"ge/LVL-105.txt","2","0.4106803","14","0","false"
"ge/LVL-106.txt","0","0.19848807","19","0","false"
"ge/LVL-106.txt","1","0.74177235","12","0","false"
"ge/LVL-106.txt","2","0.12775262","17","0","false"
"ge/LVL-107.txt","0","0.079365775","19","0","false"
"ge/LVL-107.txt","1","0.5578049","15","0","false"
"ge/LVL-107.txt","2","0.76925755","9","1","false"
"ge/LVL-108.txt","0","0.06941735","19","0","false"
"ge/LVL-108.txt","1","0.14368749","17","0","false"
"ge/LVL-108.txt","2","0.15274704","19","1","false"
"ge/LVL-109.txt","0","0.22185057","18","0","false"
"ge/LVL-109.txt","1","0.38554856","17","0","false"
"ge/LVL-109.txt","2","0.12878133","19","0","false"
"ge/LVL-110.txt","0","0.12661229","19","0","false"
"ge/LVL-110.txt","1","0.11324389","19","0","false"
"ge/LVL-110.txt","2","0.68824303","12","0","false"
"ge/LVL-111.txt","0","0.26666147","16","0","false"
"ge/LVL-111.txt","1","1.0","6","0","true"
"ge/LVL-111.txt","2","0.121233895","17","0","false"
"ge/LVL-112.txt","0","0.1706354","18","0","false"
"ge/LVL-112.txt","1","0.19435571","19","0","false"
"ge/LVL-112.txt","2","0.18476056","18","0","false"
"ge/LVL-113.txt","0","0.23585019","18","0","false"
"ge/LVL-113.txt","1","0.3811787","14","0","false"
"ge/LVL-113.txt","2","0.38624156","14","1","false"
"ge/LVL-114.txt","0","0.65220565","10","0","false"
"ge/LVL-114.txt","1","0.30456027","17","0","false"
"ge/LVL-114.txt","2","0.3188461","15","0","false"
"ge/LVL-115.txt","0","0.025814472","19","0","false"
"ge/LVL-115.txt","1","0.6051368","14","0","false"
"ge/LVL-115.txt","2","0.6206108","8","1","false"
"ge/LVL-116.txt","0","0.2641134","17","0","false"
"ge/LVL-116.txt","1","0.94515204","4","1","false"
"ge/LVL-116.txt","2","0.25996324","16","0","false"
"ge/LVL-117.txt","0","0.06293289","19","0","false"
"ge/LVL-117.txt","1","0.10127914","17","0","false"
"ge/LVL-117.txt","2","0.08006408","20","0","false"
"ge/LVL-118.txt","0","0.07827566","20","0","false"
"ge/LVL-118.txt","1","0.081674695","19","0","false"
"ge/LVL-118.txt","2","0.16333182","17","0","false"
"ge/LVL-119.txt","0","0.49657926","11","0","false"
"ge/LVL-119.txt","1","0.48506436","13","0","false"
"ge/LVL-119.txt","2","0.23456617","18","0","false"
"ge/LVL-120.txt","0","0.27922398","17","0","false"
"ge/LVL-120.txt","1","0.21800119","18","0","false"
"ge/LVL-120.txt","2","0.47684133","13","1","false"
"ge/LVL-121.txt","0","0.0874362","18","0","false"
"ge/LVL-121.txt","1","0.2461807","16","0","false"
"ge/LVL-121.txt","2","0.3823601","13","0","false"
"ge/LVL-122.txt","0","0.12505095","18","0","false"
"ge/LVL-122.txt","1","0.4119526","15","0","false"
"ge/LVL-122.txt","2","0.15128979","17","0","false"
"ge/LVL-123.txt","0","0.14087872","18","0","false"
"ge/LVL-123.txt","1","0.12857875","19","0","false"
"ge/LVL-123.txt","2","0.97148067","8","2","false"
"ge/LVL-124.txt","0","0.29793534","15","0","false"
"ge/LVL-124.txt","1","0.3074543","15","0","false"
"ge/LVL-124.txt","2","0.32433248","14","1","false"
"ge/LVL-125.txt","0","0.8034253","10","0","false"
"ge/LVL-125.txt","1","1.0","7","0","true"
"ge/LVL-125.txt","2","0.80056214","5","0","false"
"ge/LVL-126.txt","0","0.06150584","20","0","false"
"ge/LVL-126.txt","1","0.07043954","19","0","false"
"ge/LVL-126.txt","2","0.865061","9","0","false"
"ge/LVL-127.txt","0","0.24181594","17","0","false"
"ge/LVL-127.txt","1","0.50974685","11","0","false"
"ge/LVL-127.txt","2","0.54791903","15","3","false"
"ge/LVL-128.txt","0","0.22149643","17","0","false"
"ge/LVL-128.txt","1","0.41460684","11","0","false"
"ge/LVL-128.txt","2","0.19128416","18","0","false"
"ge/LVL-129.txt","0","0.20077938","17","0","false"
"ge/LVL-129.txt","1","0.12300221","19","0","false"
"ge/LVL-129.txt","2","0.5282383","12","2","false"
"ge/LVL-130.txt","0","0.45887774","14","0","false"
"ge/LVL-130.txt","1","0.80611175","11","0","false"
"ge/LVL-130.txt","2","0.8056898","8","0","false"
"ge/LVL-131.txt","0","0.4650231","16","0","false"
"ge/LVL-131.txt","1","0.78742385","5","0","false"
"ge/LVL-131.txt","2","0.8161793","7","0","false"
"ge/LVL-132.txt","0","0.07819783","19","0","false"
"ge/LVL-132.txt","1","0.09098101","19","0","false"
"ge/LVL-132.txt","2","0.2859555","17","0","false"
"ge/LVL-133.txt","0","0.24700086","18","0","false"
"ge/LVL-133.txt","1","0.23402709","15","0","false"
"ge/LVL-133.txt","2","0.23310801","18","0","false"
"ge/LVL-134.txt","0","0.21034287","18","0","false"
"ge/LVL-134.txt","1","0.20766477","18","0","false"
"ge/LVL-134.txt","2","0.20911439","18","0","false"
